선수,고교,대학
곽승석,동성고,경기대
김학민,수성고,경희대
심홍석,경북사대부고,홍익대
정지석,송림고,
임동혁,제천산업고,
김규민,벌교상고,경기대
조재영,성지고,홍익대
진상헌,운일고,한양대
진성태,광주전자공고,경희대
한선수,영생고,한양대
황승빈,문일고,인하대
백광현,남성고,홍익대
정성민,옥천고,경기대
김지한,송림고,
박주형,성지공고,성균관대
이시우,영생고,성균관대
전광인,동명고,성균관대
함형진,속초고,중부대
허수봉,경북사대부고,
문성민,동성고,경기대
김재휘,인창고,한양대
박준혁,송림고,명지대
신영석,인창고,경기대
차영석,순천제일고,인하대
홍민기,인창고,한양대
이승원,익산고,한양대
박종영,대전중앙고,한양대
여오현,대전중앙고,홍익대
공재학,광주전자공고,인하대
김인혁,동명고,경남과기대
김진만,동명고,성균관대
서재덕,광주전자공고,성균관대
박성률,마산중앙고,성균관대
안우재,송림고,경기대
윤봉우,벌교상고,한양대
이재목,경북사대부고,경희대
최석기,대전중앙고,한양대
강민웅,송림고,성균관대
권준형,성지고,성균관대
노재욱,광주전자공고,성균관대
이승현,벌교상고,한양대
이호건,영생고,인하대
고준용,광주전자공고,인하대
김나운,대전중앙고,충남대
김정호,평촌고,경희대
송희채,남성고,경기대
한정훈,평촌고,명지대
박철우,경북사대부고,
박상하,제천산업고,경희대
손태훈,군북고,조선대
정준혁,송산고,성균관대
지태환,벌교상고,한양대
김형진,남성고,홍익대
이민욱,송림고,경기대
황동일,평촌고,경기대
김강녕,남성고,조선대
이현우,제천산업고,경희대
김정환,영생고,인하대
나경복,순천제일고,인하대
신으뜸,송림고,성균관대
안준찬,연무고,명지대
최홍석,동성고,경기대
한성정,옥천고,홍익대
구도현,경북사대부고,성균관대
김시훈,광주전자공고,인하대
우상조,송림고,한양대
조근호,평촌고,경기대
유광우,인창고,인하대
하승우,현일고,중부대
신동광,송림고,한양대
이상욱,경북체고,성균관대
황영권,현일고,경희대
박광희,순천제일고,인하대
손현종,문일고,인하대
황두연,인하부고,인하대
강영준,인창고,경기대
이강원,경북사대부고,경희대
김형우,현일고,성균관대
김홍정,경북사대부고,경희대
이선규,문일고,한양대
전진용,동명고,성균관대
하현용,송림고,경기대
양준식,인하부고,인하대
최익제,남성고,
황택의,송산고,성균관대
곽동혁,인창고,한양대
정민수,동명고,경남과기대
송명근,송림고,경기대
심경섭,영생고,성균관대
이시몬,남성고,홍익대
차지환,인하부고,인하대
조재성,동성고,경희대
김요한,광주전자공고,인하대
박원빈,옥천고,인하대
손주형,송림고,경희대
한상길,평촌고,경기대
이민규,송림고,경기대
이효동,연무고,경희대
부용찬,벌교상고,한양대
이강주,인창고,경기대
조국기,속초고,명지대
